stop_id,stop_name,stop_town,stop_lon,stop_lat,location_type,parent_station,wheelchair_boarding,platform_code
sa_00001,Muiderpoortstation,Amsterdam,3.31356,47.974766,1,,,
sa_00008,Dapperstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00014,Wijttenbachstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00018,Diemerknoop,Diemen,3.31356,47.974766,1,,,
sa_00020,Beukenweg,Amsterdam,3.31356,47.974766,1,,,
sa_00023,Beukenplein,Amsterdam,3.31356,47.974766,1,,,
sa_00029,Pretoriusstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00039,Hogeweg,Amsterdam,3.31356,47.974766,1,,,
sa_00041,Maxwellstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00044,Fizeaustraat,Amsterdam,3.31356,47.974766,1,,,
sa_00048,Lorentzlaan,Amsterdam,3.31356,47.974766,1,,,
sa_00051,Maxwellstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00053,Kruislaan,Amsterdam,3.31356,47.974766,1,,,
sa_00055,Linnaeusparkweg,Amsterdam,3.31356,47.974766,1,,,
sa_00059,Radioweg,Amsterdam,3.31356,47.974766,1,,,
sa_00061,Archimedesweg,Amsterdam,3.31356,47.974766,1,,,
sa_00065,Hugo de Vrieslaan,Amsterdam,3.31356,47.974766,1,,,
sa_00074,Brinkstraat,Amsterdam,3.31356,47.974766,1,,,
sa_00079,Zaaiersweg,Amsterdam,3.31356,47.974766,1,,,
sa_00113,Dennenrode,Amsterdam,3.31356,47.974766,1,,,
sa_00118,Echtenstein,Amsterdam,3.31356,47.974766,1,,,
sa_00124,Geldershoofd,Amsterdam,3.31356,47.974766,1,,,
sa_00126,Grubbehoeve,Amsterdam,3.31356,47.974766,1,,,
sa_00128,Geerdinkhof,Amsterdam,3.31356,47.974766,1,,,
sa_00134,Koornhorst,Amsterdam,3.31356,47.974766,1,,,
sa_00144,Kikkenstein,Amsterdam,3.31356,47.974766,1,,,
sa_00146,Gooioord,Amsterdam,3.31356,47.974766,1,,,
sa_00150,Tulastraat,Amsterdam,3.31356,47.974766,1,,,
sa_00152,Florijn,Amsterdam,3.31356,47.974766,1,,,
sa_00156,Dolingadreef,Amsterdam,3.31356,47.974766,1,,,
sa_00158,Dolingadreef,Amsterdam,3.31356,47.974766,1,,,
sa_00167,Hogevecht,Amsterdam,3.31356,47.974766,1,,,
sa_00169,Huigenbos,Amsterdam,3.31356,47.974766,1,,,
sa_00171,Maasdrielhof,Amsterdam,3.31356,47.974766,1,,,
sa_00172,Holendrechtplein,Amsterdam,3.31356,47.974766,1,,,
sa_00177,Nelson Mandelapark,Amsterdam,3.31356,47.974766,1,,,
sa_00179,Kelbergen,Amsterdam,3.31356,47.974766,1,,,
sa_00184,Meernhof,Amsterdam,3.31356,47.974766,1,,,
